"bigram","n"
"limbah organik",22
"kerja sama",13
"menjaga kebersihan",13
"kebersihan lingkungan",10
"lingkungan sekitar",7
"bagi lingkungan",6
"kelestarian lingkungan",6
"pestisida alami",6
"sampah organik",6
"secara langsung",6
"sekitar sarang",6
"area sarang",5
"memberikan pengalaman",5
"mengamati aktivitas",5
"mengurangi limbah",5
"menjaga lingkungan",5
"serangga hama",5
"bekerja sama",4
"berkesan bagi",4
"kebersihan area",4
"makhluk hidup",4
"memanfaatkan limbah",4
"mengolah limbah",4
"pengendali hama",4
"rumah tangga",4
"atau predator",3
"berjalan lancar",3
"bermanfaat bagi",3
"bioteknologi lingkungan",3
"hama atau",3
"ikut menjaga",3
"ikut serta",3
"ingin mengembangkan",3
"keamanan lingkungan",3
"keseimbangan ekosistem",3
"koloni serta",3
"konsep ekologi",3
"memahami bahwa",3
"mengurangi sampah",3
"menjaga kelestarian",3
"menyadari bahwa",3
"paling berkesan",3
"peduli lingkungan",3
"peduli terhadap",3
"pelestarian lingkungan",3
"pengalaman baru",3
"ramah lingkungan",3
"sadar bahwa",3
"sama tim",3
"terhadap lingkungan",3
"aman bagi",2
"atau kebun",2
"bagaimana konsep",2
"bagi tanaman",2
"bahan alami",2
"bahwa kebersihan",2
"bahwa kepedulian",2
"beberapa jenis",2
"bersama tim",2
"cara membuat",2
"cukup paham",2
"dilakukan secara",2
"hal paling",2
"hal tersebut",2
"hama predator",2
"hanya bermanfaat",2
"harus terus",2
"ilmu baru",2
"jenis hama",2
"kehidupan sehari",2
"kepedulian terhadap",2
"kesehatan koloni",2
"langsung bagaimana",2
"lingkungan harus",2
"masih perlu",2
"melalui tindakan",2
"melihat secara",2
"memahami bagaimana",2
"memahami cara",2
"membantu menjaga",2
"memberi manfaat",2
"mengamati perilaku",2
"mengembangkan program",2
"mengenal beberapa",2
"mengganggu aktivitas",2
"mengganggu pertumbuhan",2
"mengganggu sarang",2
"menggunakan bahan",2
"mengurangi hama",2
"merusak lingkungan",2
"organik agar",2
"organik rumah",2
"organik secara",2
"organik seperti",2
"organik serta",2
"pembagian tugas",2
"pengalaman langsung",2
"pengolahan limbah",2
"pola aktivitas",2
"pupuk alami",2
"saling membantu",2
"sama antar",2
"secara individu",2
"sederhana seperti",2
"sehari hari",2
"selama berkegiatan",2
"seperti semut",2
"setiap orang",2
"tanaman atau",2
"teori ekologi",2
"terhadap kebersihan",2
"terhadap kelestarian",2
"tetap terjaga",2
"tindakan nyata",2
"1 meter",1
"ada dilingkungan",1
"ada pengalaman",1
"ada perbedaan",1
"adanya arahan",1
"agar ekosistem",1
"agen pengurai",1
"agen penyerbukan",1
"ahli nya",1
"akan merugikan",1
"akan terasa",1
"akhirnya akan",1
"aktif menjaga",1
"aktivitas foraging",1
"alam serta",1
"alami agar",1
"alami bagi",1
"alami bioteknologi",1
"alami peningkatan",1
"alami seperti",1
"alami tanaman",1
"aman tanpa",1
"amdal kemaren",1
"anang selaku",1
"antar teman",1
"antar tim",1
"apa saja",1
"apapun tindakan",1
"aplikasi kan",1
"aplikasi meskipun",1
"aplikasi pemberian",1
"arahan langsung",1
"area sekitar",1
"area tanaman",1
"atau budidaya",1
"atau kapas",1
"atau menggunakan",1
"atau teman",1
"bagaimana cara",1
"bagaimana dampak",1
"bagaimana ia",1
"bagaimana menjaga",1
"bagaimana mereka",1
"bagaimana perannya",1
"bagaimana praktik",1
"bagaimana teori",1
"bagi keseimbangan",1
"bagi kesejahteraan",1
"bagi kolini",1
"bagi koloni",1
"bagi masyarakat",1
"bagian batang",1
"bagian mana",1
"bagian masuk",1
"bahan bahan",1
"bahan berguna",1
"bahan kimia",1
"bahan utama",1
"bahu membahu",1
"bahwa kerja",1
"bahwa lingkungan",1
"bahwa pelestarian",1
"baik maka",1
"baik membantu",1
"baik pula",1
"baik tanpa",1
"bapak anang",1
"baru terkait",1
"baru terutama",1
"batang stup",1
"bekerja bersama",1
"bekerja langsung",1
"bekerja secara",1
"belajar bahwa",1
"belajar berkoordinasi",1
"belajar cara",1
"belajar membuat",1
"belajar memperhatikan",1
"belajar mencatat",1
"belajar mengamati",1
"belum dilakukan",1
"belum tau",1
"benar serta",1
"bentuk peduli",1
"berbagi tugas",1
"berbahaya serta",1
"berdampak besar",1
"berdampak langsung",1
"berdasarkan pengalaman",1
"berguna bagi",1
"berguna menjaga",1
"berjalan aman",1
"berkelompok sehingga",1
"berkomitmen mengurangi",1
"berkomunikasi serta",1
"berkontribusi mengurangi",1
"berkoordinasi berbagi",1
"bermanfaat baik",1
"bermanfaat tanpa",1
"berperan aktif",1
"berpotensi mengganggu",1
"bersifat hama",1
"bersifat teoritis",1
"bertanggung jawab",1
"besar bagi",1
"biasanya keluar",1
"bijak serta",1
"biologi harus",1
"bioteknologi diterapkan",1
"bud agar",1
"bud atau",1
"budidaya serangga",1
"bukan hanya",1
"bukan sekadar",1
"cairan hasil",1
"cairan ramah",1
"cara dioles",1
"cara menerapkan",1
"cara mengenali",1
"cara mengurangi",1
"cara pembuatan",1
"cara pencegahannya",1
"cara penggunaan",1
"cara sederhana",1
"caranya yaitu",1
"cindai alus",1
"ciri ciri",1
"ciri hama",1
"contoh bagi",1
"contoh langsung",1
"cotton bud",1
"cukup baik",1
"cukup menguras",1
"cukup percaya",1
"cutton bud",1
"dampak aktivitas",1
"dampak ekologi",1
"dampak kecil",1
"dampingi oleh",1
"dekat sarang",1
"desa cindai",1
"diajari bagian",1
"diarea sekitar",1
"dibandingkan kita",1
"diberikan penjelasan",1
"dicari tahu",1
"didekat sarang",1
"dijaga dimanfaatkan",1
"dijangkau oleh",1
"dikerjakan sendiri",1
"dilaksanakan diberikan",1
"dilakukan akan",1
"dilakukan tetapi",1
"dimanfaatkan kembali",1
"dioles menggunakan",1
"disekitar sarang",1
"diterapkan melalui",1
"diterapkan terutama",1
"diwujudkan melalui",1
"dokumentasi hingga",1
"dosen matkul",1
"edukatif bagi",1
"efektif selain",1
"ekologi lingkungannya",1
"ekologi tempat",1
"ekosistem kecil",1
"ekosistem khususnya",1
"ekosistem lingkungan",1
"ekosistem sekitar",1
"ekosistem sekitarnya",1
"ekosistem termasuk",1
"ekossistem tanpa",1
"enzym bagi",1
"enzym bermanfaat",1
"enzym dilakukan",1
"faktor faktor",1
"fermentasi sampah",1
"fokus meskipun",1
"fungsi efek",1
"gangguan eksternal",1
"guna menjaga",1
"hal ilmu",1
"hal penting",1
"hama alami",1
"hama bagi",1
"hama didekat",1
"hama jika",1
"hama pembersih",1
"hama pengganggu",1
"hama secara",1
"hama seperti",1
"hama tanaman",1
"hama tetapi",1
"hanya bersifat",1
"hanya tentang",1
"harapannya co",1
"harus berperan",1
"harus diwujudkan",1
"harus tetap",1
"hasil pengamatan",1
"hasil propolis",1
"hati agar",1
"hati hati",1
"hewan lain",1
"hidup disekitarnya",1
"hidup lain",1
"hingga pengaplikasian",1
"ia beraktivitas",1
"identifikasi serangga",1
"identitas serangga",1
"ilmu pengetahuan",1
"individu melalui",1
"informatif aplikatif",1
"ingin ikut",1
"inovasi pembuatan",1
"jelas perbedaan",1
"jelas selama",1
"jenis jenis",1
"jenis predator",1
"jenis serangga",1
"jika terlihat",1
"kak deva",1
"kakak kakak",1
"kakak s2",1
"kalangan masyarakat",1
"kan ego",1
"keberlangsungan makhluk",1
"kebersihan alat",1
"kebersihan sarang",1
"kebun komunitas",1
"kecuali bagian",1
"kelestarian ekosistem",1
"kelestarian makhluk",1
"keluar masuk",1
"kemampuan kerja",1
"kemampuan observasu",1
"kemaren komunikasi",1
"kemudian mengamati",1
"kenyamanan koloni",1
"kepedulian lingkungan",1
"kesadaran lingkungan",1
"kesehatan ekosistemnya",1
"keseimbangan habitat",1
"kesejahteraan koloni",1
"kestabilan koloni",1
"ketenangan kebersihan",1
"keterampilan observasi",1
"ketika semua",1
"kimia berbahaya",1
"kita melakukan",1
"kita tahu",1
"koloni pengalaman",1
"kompleksitas ekosistem",1
"komunitas misalnya",1
"kondisi lapangan",1
"kondisi lingkungan",1
"kondisi sarang",1
"kualitas air",1
"kualitas koloni",1
"kumbang selama",1
"lain seperti",1
"lakukan terhadap",1
"lancar terstruktur",1
"langsung berpotensi",1
"langsung datang",1
"langsung efektivitas",1
"langsung hama",1
"langsung kemasyarakat",1
"langsung mengamati",1
"langsung pentingnya",1
"langsung praktik",1
"langsung selain",1
"langsung terhadap",1
"langsung turun",1
"lapangan bersama",1
"lapangan kemarin",1
"lapangan membantu",1
"lapangan sambil",1
"latihan agar",1
"limbah dapur",1
"lingkungan agar",1
"lingkungan bukan",1
"lingkungan desa",1
"lingkungan ekologi",1
"lingkungan guna",1
"lingkungan melalui",1
"lingkungan memanfaatkan",1
"lingkungan mengurangi",1
"lingkungan penting",1
"lingkungan saat",1
"lingkungan saling",1
"lingkungan secara",1
"lingkungan sekecil",1
"lingkungan selain",1
"lingkungan seperti",1
"lingkungan serta",1
"lingkungan setelah",1
"lingkungannya setelah",1
"maka segala",1
"mana saja",1
"manfaat apa",1
"manfaat besar",1
"manfaat dasar",1
"manfaat nyata",1
"manfaatnya bagi",1
"masuk sarang",1
"masyarakat atau",1
"matkul amdal",1
"maupun kesadaran",1
"me aplikasi",1
"melainkan sesuatu",1
"melakukan identifikasi",1
"melakukan kerja",1
"melakukan menjaga",1
"melakukan pencegahan",1
"melakukan pengamatan",1
"melakukan secara",1
"melalui kerja",1
"melalui pemanfaatannya",1
"melalui pengamatan",1
"melalui penggunaan",1
"melestarikan lingkungan",1
"melibatkan warga",1
"melihat bagaimana",1
"melihat efek",1
"melihat koloni",1
"melihat langsung",1
"melindungi koloni",1
"memahami dampak",1
"memahami fungsi",1
"memahami manfaat",1
"memahami manfaatnya",1
"memanfaatkan sampah",1
"memanfaatkan sisa",1
"memang cukup",1
"memastikan setiap",1
"memastikan tujuan",1
"membagi tugas",1
"membantu diaplikasikan",1
"membantu membersihkan",1
"membantu mengolah",1
"membantu mengurangi",1
"membantu pekerjaan",1
"membedakan jenis",1
"memberi wawasan",1
"memberikan contoh",1
"membersihkan sarang",1
"membersihkan sekitaran",1
"membuang sampah",1
"memengaruhi kesehatan",1
"memerlukan kerja",1
"memikirkan serta",1
"memiliki penerapan",1
"memiliki peran",1
"mempelajari bagaimana",1
"mempelajari cara",1
"mempengaruhi kualitas",1
"memperhatikan keseimbangan",1
"memperhatikan pola",1
"memperhatikan setiap",1
"memperoleh pengalaman",1
"memperoleh pengetahuan",1
"mempertimbangkan dampak",1
"menambah pengetahuan",1
"mencari pakan",1
"mencatat hasil",1
"mencatat waktu",1
"mencegah gangguan",1
"mencoba memanfaatkan",1
"mendapat bimbingan",1
"mendapat wawasan",1
"mendukung keberlangsungan",1
"mendukung kebersihan",1
"mendukung kehidupan",1
"mendukung kelancaran",1
"mendukung kenyamanan",1
"mendukung penggunaan",1
"mendukung proses",1
"menekankan pentingnya",1
"meneliti pengaruh",1
"menemukan cicak",1
"menerapkan konsep",1
"mengajak keluarga",1
"mengamati kondisi",1
"mengamati sarang",1
"mengamati secara",1
"mengaplikasikan disekitar",1
"mengelola sampah",1
"mengembangkan inovasi",1
"mengenai peran",1
"mengenali ciri",1
"mengenali faktor",1
"mengenali perilaku",1
"mengenalkan tentang",1
"mengendalikan hama",1
"mengetahui bagaimana",1
"mengganggu kebun",1
"mengganggu koloni",1
"mengganggu sarangnya",1
"menggunakan cotton",1
"menggunakan cutton",1
"menghargai peran",1
"menghubungkan teori",1
"mengidentifikasi hama",1
"mengikuti praktik",1
"mengobservasi lingkungan",1
"mengolah sampah",1
"mengubah ekosistem",1
"mengubah limbah",1
"mengurangi penggunaan",1
"mengurangi serangga",1
"mengurangi tumpukan",1
"menguras tenaga",1
"meningkatkan kemampuan",1
"meningkatkan kesehatan",1
"menjaga ekosistem",1
"menjaga habitat",1
"menjaga keseimbangan",1
"menjaga koloni",1
"menumbuhkan rasa",1
"menyadari hal",1
"menyadari kompleksitas",1
"menyadari pentingnya",1
"menyaksikan langsung",1
"merasa ada",1
"merasa dekat",1
"merasa mampu",1
"merasa sudah",1
"merasakan langsung",1
"mereka bekerja",1
"meringankan pekerjaan",1
"merugikan makhluk",1
"merupakan bentuk",1
"merupakan cairan",1
"merusak sarang",1
"meskipun terkadang",1
"meskipun tetap",1
"mikroorganisme diterapkan",1
"momen kerja",1
"mudah dijangkau",1
"mulai mengenal",1
"mungkin diterapkan",1
"mungkin memanfaatkan",1
"mutu ternak",1
"nyata bagi",1
"nyata ketika",1
"observasi meningkat",1
"oleh ahli",1
"oleh seluruh",1
"orang bekerja",1
"orang memiliki",1
"organik bagi",1
"organik dapur",1
"organik melalui",1
"organik membantu",1
"organik sekaligus",1
"paham cara",1
"paham tentang",1
"paham terkait",1
"pelaksanaannya yaitu",1
"pelestarian ekosistem",1
"pelindung agar",1
"pemanfaatan bioteknologi",1
"pemanfaatan limbah",1
"pemanfaatan mikroorganisme",1
"pembersih alami",1
"pembersih ramah",1
"pencatatan data",1
"penerapan langsung",1
"penerapannya secara",1
"pengalaman belajar",1
"pengalaman dicari",1
"pengalaman selama",1
"pengalaman terjun",1
"pengamatan lapangan",1
"pengamatan secara",1
"pengaruh penggunaan",1
"pengelolaan habitat",1
"pengembangan pengendalian",1
"pengendalian mutu",1
"pengerjaan pengaplikasian",1
"pengetahuan bahwa",1
"pengetahuan maupun",1
"pengetahuan mengenai",1
"penggunaan bahan",1
"penggunaan perlengkapan",1
"penggunaan solusi",1
"pengolahan sampah",1
"pengurai limbah",1
"pengusir hama",1
"peningkatan kualitas",1
"penjelasan bahwa",1
"penolak serangga",1
"penting kerja",1
"pentingnya bagaimana",1
"pentingnya kerja",1
"pentingnya ketenangan",1
"pentingnya koordinasi",1
"pentingnya menjaga",1
"pentingnya saling",1
"penyemprotan sedangkan",1
"peran setiap",1
"perbedaan saat",1
"percaya diri",1
"perilaku mereka",1
"perlengkapan pelindung",1
"perlu latihan",1
"perlu menyesuaikan",1
"perlu pendalaman",1
"pernah berpengalaman",1
"pertumbuhan koloni",1
"pertumbuhan tanaman",1
"perusak sarang",1
"praktik langsung",1
"praktik lapangan",1
"praktik sederhana",1
"predator kerja",1
"predator secara",1
"predator serta",1
"predator terhadap",1
"produk berguna",1
"program pemanfaatan",1
"program sederhana",1
"proses aplikasi",1
"proses dokumentasi",1
"proses pemanfaatan",1
"proses pengamatan",1
"pupuk insektisida",1
"pupuk organik",1
"ramah alam",1
"rasa peduli",1
"repellent penolak",1
"repellent serangga",1
"ringan dibandingkan",1
"rumah atau",1
"saat berinteraksi",1
"saat mengamati",1
"saat sesuatu",1
"sadar lingkungan",1
"sadar pentingnya",1
"salah satu",1
"saling bekerja",1
"saling berhubungan",1
"saling mendukung",1
"saling merugikan",1
"sama berkomunikasi",1
"sama bukan",1
"sama meringankan",1
"sambil mengamati",1
"sampah rumah",1
"sampah sembarangan",1
"sana terkait",1
"sarang atau",1
"sarang kak",1
"sarang kurang",1
"sarang memengaruhi",1
"sarang sarang",1
"sarang sehingga",1
"sarang seperti",1
"sarang yaitu",1
"sarangnya melihat",1
"satu cara",1
"sebisa mungkin",1
"secara berkelanjutan",1
"secara berkelompok",1
"secara bijak",1
"secara jelas",1
"secara luas",1
"secara nyata",1
"secara teliti",1
"secara teratur",1
"sedangkan pengaplikasian",1
"sederhana pengolahan",1
"sehingga mendukung",1
"sekadar wacana",1
"sekaligus mendukung",1
"sekaligus menjaga",1
"sekecil apapun",1
"sekitar area",1
"sekitar koloni",1
"sekitar rumah",1
"sekitar terutama",1
"sekitaran sarang",1
"selaku dosen",1
"selalu memperhatikan",1
"selalu menjaga",1
"selama perkuliahan",1
"seluruh kalangan",1
"semakin sadar",1
"sempat catat",1
"semua orang",1
"semut cicak",1
"sendiri menggunakan",1
"seperti buah",1
"seperti membuat",1
"seperti menjaga",1
"seperti sisa",1
"sepi koloni",1
"serangga program",1
"sering mengganggu",1
"sering terlewatkan",1
"serta aman",1
"serta bermanfaat",1
"serta cara",1
"serta hasil",1
"serta makhluk",1
"serta memahami",1
"serta membantu",1
"serta memperoleh",1
"serta mempertimbangkan",1
"serta mencegah",1
"serta mendukung",1
"serta mengajak",1
"serta mengenali",1
"serta perusak",1
"serta pupuk",1
"serta selalu",1
"serta teliti",1
"setalah melihat",1
"setelah diberikan",1
"setelah memahami",1
"setelah mendapat",1
"setiap perilaku",1
"setiap tahapan",1
"siang hari",1
"sisa buah",1
"sisa limbah",1
"solusi ramah",1
"stup kecuali",1
"sudah melakukannya",1
"sudah memahami",1
"sudah mengenali",1
"tahapan dilakukan",1
"tahu bagaimana",1
"tahu jenis",1
"tahu pembuatan",1
"tanah disemprot",1
"tanaman pengendali",1
"tangan membantu",1
"tangga hasilnya",1
"tanpa mengganggu",1
"tanpa mengganggunya",1
"tanpa mengubah",1
"tanpa merusak",1
"tau manfaat",1
"teknik penyemprotan",1
"teliti bersama",1
"teliti saat",1
"teman kelompok",1
"teman lainnya",1
"teman sebaya",1
"tempat budidaya",1
"tentang fungsi",1
"tentang keseimbangan",1
"tentang membagi",1
"tentang pemanfaatan",1
"tentang saling",1
"tentu saja",1
"tentunya pengaplikasian",1
"teori tentang",1
"teoritis tetapi",1
"tepat sehingga",1
"tepat serta",1
"terasa sedikit",1
"teratur selama",1
"terdapat hewan",1
"tergolong hama",1
"terhadap budidaya",1
"terhadap ekossistem",1
"terjun langsung",1
"terkadang masih",1
"terkait manfaat",1
"terkait pengaplikasian",1
"terkena hama",1
"terlalu sulit",1
"terlihat jelas",1
"terlihat sarang",1
"terlihat secara",1
"termasuk menjaga",1
"tertarik meneliti",1
"terus dijaga",1
"terus ikut",1
"terus mengolah",1
"tetap perlu",1
"tetapi masih",1
"tetapi pernah",1
"tim apalagi",1
"tim setiap",1
"tugas membuat",1
"tugas tetapi",1
"tumpukan sampah",1
"turun tangan",1
"udara serta",1
"upaya pelestarian",1
"wacana melainkan",1
"warga sekitar",1
"wawa sana",1
"wawasan baru",1
"wawasan pengolahan",1
"yaitu bagian",1
"yaitu selalu",1
